project_id,state,project_type,total_land_required_hectares,land_acquired_percent,pending_approvals,compensation_pending_percent,legal_cases,affected_families,rr_completed_percent,possession_percent,planned_duration_months,environmental_clearance,forest_clearance,previous_delay_days,delay_days,delay_risk,project_status,year,district,project_name,project_reference,data_provenance,ministry,key_event,urban_rural,forest_district,compensation_status,rehabilitation_status,objection_count,project_completion_status
LA-REF-0001,Maharashtra,Railway,58,9.4,1,94.7,0,121,8.3,7.7,70,Pending,Pending,6,259,Medium,Early Stage,2016,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Notification Issued,Rural,Yes,Not Started,Not Started,0,Completed
LA-REF-0001,Maharashtra,Railway,58,27.2,3,91.4,0,121,15.3,20,70,Pending,Pending,62,259,Medium,In Progress,2018,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Compensation Initiated,Rural,Yes,Not Started,Not Started,0,Completed
LA-REF-0001,Maharashtra,Railway,58,36,3,82.5,0,121,20,28.4,70,Approved,Pending,119,259,Medium,In Progress,2019,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Not Started,Not Started,0,Completed
LA-REF-0001,Maharashtra,Railway,58,45.1,0,73.6,0,121,24.9,37.3,70,Approved,Approved,89,259,Medium,In Progress,2020,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,No Major Update,Rural,Yes,Not Started,Not Started,3,Completed
LA-REF-0001,Maharashtra,Railway,58,57.7,3,67.9,0,121,47.5,48.7,70,Approved,Approved,126,259,Medium,In Progress,2021,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Not Started,Partially Complete,3,Completed
LA-REF-0001,Maharashtra,Railway,58,68.8,0,60.8,0,121,38.9,50.4,70,Approved,Approved,156,259,Medium,In Progress,2022,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Partially Disbursed,Partially Complete,3,Completed
LA-REF-0001,Maharashtra,Railway,58,94.2,0,54.5,0,121,69.9,88.1,70,Approved,Approved,205,259,Medium,Near Completion,2023,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Partially Disbursed,Substantially Complete,3,Completed
LA-REF-0001,Maharashtra,Railway,58,100,0,48.5,0,121,88.4,80.7,70,Approved,Approved,212,259,Medium,Completed,2024,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 1,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Partially Disbursed,Substantially Complete,3,Completed
LA-REF-0002,Maharashtra,Railway,15,1.2,3,98.2,0,107,0.9,0.9,63,Approved,Not Required,0,158,Medium,Early Stage,2019,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 2,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Environmental Clearance Received,Urban,No,Not Started,Not Started,0,Completed
LA-REF-0002,Maharashtra,Railway,15,43.4,0,86.1,0,107,24.4,31.5,63,Approved,Not Required,9,158,Medium,In Progress,2020,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 2,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Compensation Initiated,Urban,No,Not Started,Not Started,0,Completed
