project_id,project_name,project_type,ministry,state,district,year,total_land_required_hectares,land_acquired_hectares,land_acquired_percent,acquisition_percentage,pending_approvals,compensation_status,compensation_pending_percent,rehabilitation_status,government_approval_status,environmental_clearance,forest_clearance,legal_dispute,legal_cases,court_case_count,objection_count,affected_families,rr_completed_percent,possession_percent,planned_duration_months,population_density,urban_rural,terrain_type,flood_prone,distance_to_highway_km,distance_to_railway_km,planned_start_date,planned_end_date,actual_end_date,previous_delay_days,delay_days,delay_risk,project_status,is_flagship_project
LA-FLAG-001,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Railway,Ministry of Railways,Maharashtra,Palghar,2017,20.1,2.2,11.2,11.2,4,Not Started,95.1,Not Started,Pending,Pending,Not Required,Yes,1,1,1,73,9.3,9.5,66,6344,Urban,Coastal,1,4.3,3.7,2017-04-05,2023-04-05,,633,703,High,Early Stage,True
LA-FLAG-001,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Railway,Ministry of Railways,Maharashtra,Palghar,2018,20.1,6.0,29.6,29.6,3,Not Started,80.7,Not Started,Pending,Pending,Not Required,Yes,2,2,2,73,25.7,23.2,66,6344,Urban,Coastal,1,4.3,3.7,2017-04-05,2023-04-05,,564,703,High,In Progress,True
LA-FLAG-001,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Railway,Ministry of Railways,Maharashtra,Palghar,2019,20.1,8.4,41.7,41.7,4,Not Started,68.3,Not Started,Pending,Pending,Not Required,Yes,2,2,2,73,32.1,33.5,66,6344,Urban,Coastal,1,4.3,3.7,2017-04-05,2023-04-05,,458,703,High,In Progress,True
LA-FLAG-001,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Railway,Ministry of Railways,Maharashtra,Palghar,2020,20.1,9.6,47.8,47.8,4,Partially Disbursed,63.2,Partially Complete,Pending,Pending,Not Required,Yes,3,3,3,73,37.4,37.3,66,6344,Urban,Coastal,1,4.3,3.7,2017-04-05,2023-04-05,,391,703,High,In Progress,True
LA-FLAG-001,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Railway,Ministry of Railways,Maharashtra,Palghar,2021,20.1,11.8,58.5,58.5,4,Partially Disbursed,53.0,Partially Complete,Pending,Pending,Not Required,Yes,4,4,3,73,37.8,54.9,66,6344,Urban,Coastal,1,4.3,3.7,2017-04-05,2023-04-05,,283,703,High,In Progress,True
LA-FLAG-001,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Railway,Ministry of Railways,Maharashtra,Palghar,2022,20.1,14.1,70.3,70.3,2,Partially Disbursed,52.5,Partially Complete,Under Review,Pending,Not Required,Yes,4,4,3,73,57.1,63.9,66,6344,Urban,Coastal,1,4.3,3.7,2017-04-05,2023-04-05,,267,703,High,In Progress,True
LA-FLAG-001,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Railway,Ministry of Railways,Maharashtra,Palghar,2023,20.1,14.6,72.8,72.8,2,Substantially Disbursed,32.5,Partially Complete,Under Review,Pending,Not Required,Yes,5,5,4,73,52.2,57.4,66,6344,Urban,Coastal,1,4.3,3.7,2017-04-05,2023-04-05,,159,703,High,In Progress,True
LA-FLAG-001,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Railway,Ministry of Railways,Maharashtra,Palghar,2024,20.1,15.2,75.8,75.8,3,Partially Disbursed,37.9,Partially Complete,Under Review,Approved,Not Required,Yes,5,5,4,73,52.3,67.5,66,6344,Urban,Coastal,1,4.3,3.7,2017-04-05,2023-04-05,,102,703,High,In Progress,True
LA-FLAG-001,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Railway,Ministry of Railways,Maharashtra,Palghar,2025,20.1,15.3,76.2,76.2,2,Substantially Disbursed,29.0,Partially Complete,Under Review,Approved,Not Required,Yes,5,5,4,73,49.6,68.9,66,6344,Urban,Coastal,1,4.3,3.7,2017-04-05,2023-04-05,2025-04-05,22,703,High,In Progress,True
LA-FLAG-002,Delhi-Amritsar-Katra Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Panipat,2020,15.0,7.5,50.3,50.3,3,Partially Disbursed,60.8,Partially Complete,Pending,Pending,Not Required,No,0,0,2,38,33.9,44.8,42,3900,Urban,Hilly,0,3.8,6.3,2020-10-13,2024-10-13,,9,90,Low,Early Stage,True
LA-FLAG-002,Delhi-Amritsar-Katra Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Panipat,2021,15.0,11.1,73.8,73.8,2,Partially Disbursed,43.2,Partially Complete,Under Review,Approved,Not Required,No,0,0,3,38,46.6,58.1,42,3900,Urban,Hilly,0,3.8,6.3,2020-10-13,2024-10-13,,1,90,Low,In Progress,True
LA-FLAG-002,Delhi-Amritsar-Katra Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Panipat,2022,15.0,14.2,94.4,94.4,1,Substantially Disbursed,15.0,Substantially Complete,Partially Approved,Approved,Not Required,No,0,0,4,38,78.7,72.0,42,3900,Urban,Hilly,0,3.8,6.3,2020-10-13,2024-10-13,,0,90,Low,In Progress,True
LA-FLAG-002,Delhi-Amritsar-Katra Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Panipat,2023,15.0,14.0,93.2,93.2,2,Substantially Disbursed,16.0,Substantially Complete,Partially Approved,Approved,Not Required,No,0,0,5,38,81.3,84.0,42,3900,Urban,Hilly,0,3.8,6.3,2020-10-13,2024-10-13,,1,90,Low,In Progress,True
LA-FLAG-002,Delhi-Amritsar-Katra Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Panipat,2024,15.0,14.6,97.5,97.5,0,Substantially Disbursed,14.1,Substantially Complete,Approved,Approved,Not Required,No,0,0,5,38,71.1,82.1,42,3900,Urban,Hilly,0,3.8,6.3,2020-10-13,2024-10-13,2024-10-13,0,90,Low,Near Completion,True
LA-FLAG-003,Dwarka Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Delhi,Shahdara,2016,15.0,2.8,18.8,18.8,4,Not Started,91.8,Not Started,Pending,Pending,Not Required,No,0,0,1,77,11.3,15.2,60,572,Rural,Desert,0,17.9,1.7,2016-03-20,2021-03-20,,299,366,High,Early Stage,True
LA-FLAG-003,Dwarka Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Delhi,Shahdara,2017,15.0,4.3,28.9,28.9,3,Not Started,82.7,Not Started,Pending,Pending,Not Required,No,0,0,2,77,22.5,24.2,60,572,Rural,Desert,0,17.9,1.7,2016-03-20,2021-03-20,,290,366,High,In Progress,True
LA-FLAG-003,Dwarka Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Delhi,Shahdara,2018,15.0,6.2,41.4,41.4,3,Partially Disbursed,61.6,Partially Complete,Pending,Pending,Not Required,No,0,0,3,77,35.3,38.2,60,572,Rural,Desert,0,17.9,1.7,2016-03-20,2021-03-20,,211,366,High,In Progress,True
LA-FLAG-003,Dwarka Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Delhi,Shahdara,2019,15.0,8.0,53.4,53.4,4,Partially Disbursed,50.5,Partially Complete,Pending,Pending,Not Required,No,0,0,3,77,38.0,42.4,60,572,Rural,Desert,0,17.9,1.7,2016-03-20,2021-03-20,,138,366,High,In Progress,True
LA-FLAG-003,Dwarka Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Delhi,Shahdara,2020,15.0,9.6,64.2,64.2,2,Partially Disbursed,39.0,Partially Complete,Under Review,Pending,Not Required,No,0,0,4,77,47.8,56.2,60,572,Rural,Desert,0,17.9,1.7,2016-03-20,2021-03-20,,52,366,High,In Progress,True
LA-FLAG-003,Dwarka Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Delhi,Shahdara,2021,15.0,11.4,76.2,76.2,3,Partially Disbursed,43.1,Partially Complete,Under Review,Approved,Not Required,No,0,0,4,77,62.2,63.4,60,572,Rural,Desert,0,17.9,1.7,2016-03-20,2021-03-20,,43,366,High,In Progress,True
LA-FLAG-003,Dwarka Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Delhi,Shahdara,2022,15.0,11.6,77.1,77.1,2,Partially Disbursed,35.6,Partially Complete,Under Review,Approved,Not Required,No,0,0,4,77,59.6,71.8,60,572,Rural,Desert,0,17.9,1.7,2016-03-20,2021-03-20,2022-03-20,0,366,High,In Progress,True
LA-FLAG-004,Bengaluru-Chennai Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Karnataka,Bengaluru,2021,15.0,4.9,32.6,32.6,3,Not Started,71.0,Not Started,Pending,Pending,Not Required,Yes,1,1,2,80,25.2,25.3,40,4093,Urban,Riverine,0,6.1,11.2,2021-08-13,2024-08-13,,499,588,High,Early Stage,True
LA-FLAG-004,Bengaluru-Chennai Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Karnataka,Bengaluru,2022,15.0,6.0,40.1,40.1,4,Partially Disbursed,61.2,Not Started,Pending,Pending,Not Required,Yes,1,1,3,80,25.9,34.0,40,4093,Urban,Riverine,0,6.1,11.2,2021-08-13,2024-08-13,,348,588,High,In Progress,True
LA-FLAG-004,Bengaluru-Chennai Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Karnataka,Bengaluru,2023,15.0,9.3,62.3,62.3,3,Partially Disbursed,46.7,Partially Complete,Pending,Pending,Not Required,Yes,2,2,4,80,51.1,56.5,40,4093,Urban,Riverine,0,6.1,11.2,2021-08-13,2024-08-13,,243,588,High,In Progress,True
LA-FLAG-004,Bengaluru-Chennai Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Karnataka,Bengaluru,2024,15.0,10.4,69.5,69.5,2,Substantially Disbursed,29.6,Partially Complete,Under Review,Pending,Not Required,Yes,2,2,5,80,50.6,63.5,40,4093,Urban,Riverine,0,6.1,11.2,2021-08-13,2024-08-13,,133,588,High,In Progress,True
LA-FLAG-004,Bengaluru-Chennai Expressway,Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Karnataka,Bengaluru,2025,15.0,11.3,75.2,75.2,3,Substantially Disbursed,32.3,Partially Complete,Under Review,Approved,Not Required,Yes,2,2,5,80,47.5,70.9,40,4093,Urban,Riverine,0,6.1,11.2,2021-08-13,2024-08-13,2025-08-13,0,588,High,In Progress,True
LA-FLAG-005,Delhi-Mumbai Expressway (select land parcels),Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Faridabad,2018,15.0,6.5,43.1,43.1,3,Partially Disbursed,60.9,Partially Complete,Pending,Pending,Not Required,No,0,0,4,73,35.5,34.8,48,6211,Urban,Riverine,0,0.9,2.9,2018-10-08,2022-10-08,,93,91,Medium,Early Stage,True
LA-FLAG-005,Delhi-Mumbai Expressway (select land parcels),Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Faridabad,2019,15.0,8.9,59.5,59.5,2,Partially Disbursed,42.4,Partially Complete,Under Review,Pending,Not Required,No,0,0,7,73,49.3,45.0,48,6211,Urban,Riverine,0,0.9,2.9,2018-10-08,2022-10-08,,44,91,Medium,In Progress,True
LA-FLAG-005,Delhi-Mumbai Expressway (select land parcels),Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Faridabad,2020,15.0,12.8,85.1,85.1,2,Substantially Disbursed,27.2,Partially Complete,Under Review,Approved,Not Required,No,0,0,9,73,55.9,79.0,48,6211,Urban,Riverine,0,0.9,2.9,2018-10-08,2022-10-08,,43,91,Medium,In Progress,True
LA-FLAG-005,Delhi-Mumbai Expressway (select land parcels),Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Faridabad,2021,15.0,13.9,92.8,92.8,2,Substantially Disbursed,20.3,Substantially Complete,Partially Approved,Approved,Not Required,No,0,0,11,73,83.0,80.0,48,6211,Urban,Riverine,0,0.9,2.9,2018-10-08,2022-10-08,,17,91,Medium,In Progress,True
LA-FLAG-005,Delhi-Mumbai Expressway (select land parcels),Highway,Ministry of Road Transport & Highways (MoRTH/NHAI),Haryana,Faridabad,2022,15.0,13.4,89.3,89.3,2,Substantially Disbursed,13.2,Partially Complete,Partially Approved,Approved,Not Required,No,0,0,11,73,58.0,70.1,48,6211,Urban,Riverine,0,0.9,2.9,2018-10-08,2022-10-08,2022-10-08,5,91,Medium,Near Completion,True
LA-FLAG-006,Eastern Dedicated Freight Corridor (segment),Railway,Ministry of Railways,Uttar Pradesh,Prayagraj,2016,15.0,5.7,38.2,38.2,4,Not Started,70.6,Not Started,Pending,Pending,Pending,No,0,0,2,81,27.7,34.9,60,783,Rural,Hilly,0,21.9,0.2,2016-07-14,2021-07-14,,130,158,Medium,Early Stage,True
LA-FLAG-006,Eastern Dedicated Freight Corridor (segment),Railway,Ministry of Railways,Uttar Pradesh,Prayagraj,2017,15.0,7.6,50.9,50.9,3,Partially Disbursed,57.1,Partially Complete,Pending,Pending,Pending,No,0,0,3,81,39.9,47.7,60,783,Rural,Hilly,0,21.9,0.2,2016-07-14,2021-07-14,,119,158,Medium,In Progress,True
LA-FLAG-006,Eastern Dedicated Freight Corridor (segment),Railway,Ministry of Railways,Uttar Pradesh,Prayagraj,2018,15.0,10.6,70.5,70.5,2,Partially Disbursed,39.4,Partially Complete,Under Review,Approved,Pending,No,0,0,4,81,48.7,64.7,60,783,Rural,Hilly,0,21.9,0.2,2016-07-14,2021-07-14,,73,158,Medium,In Progress,True
LA-FLAG-006,Eastern Dedicated Freight Corridor (segment),Railway,Ministry of Railways,Uttar Pradesh,Prayagraj,2019,15.0,12.0,79.8,79.8,3,Substantially Disbursed,22.2,Partially Complete,Under Review,Approved,Approved,No,0,0,4,81,51.0,65.1,60,783,Rural,Hilly,0,21.9,0.2,2016-07-14,2021-07-14,,48,158,Medium,In Progress,True
